sku,merchant,model_key,title,brand,category,price,currency,cpu,ram,storage,screen_in,weight_kg,battery_wh,gtin,condition,stock,source_url,fetched_at
BIGW-LAP-001,bigw,hp14-athlon,HP 14-inch Laptop AMD Athlon Silver 7120U 4GB RAM 128GB Windows 11 Blue,HP,laptop,395,AUD,Athlon Silver 7120U,4GB,128GB,14,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/laptops/c/6335,2026-09-13
BIGW-LAP-002,bigw,macbook-air-m1,Apple MacBook Air 13-inch M1 256GB Space Grey,Apple,laptop,999,AUD,Apple M1,8GB,256GB,13,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/laptops/c/6335,2026-09-13
BIGW-LAP-003,bigw,bdi-dual-n100-1tb,BDI Dual Screen N100 15.6-inch Laptop 16GB RAM 1TB SSD,BDI,laptop,1139,AUD,Intel N100,16GB,1TB,15.6,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/laptops/c/6335,2026-09-13
BIGW-LAP-004,bigw,hp15-n150,HP Laptop 15-fd0943TU 15.6-inch Full HD Intel N150 128GB,HP,laptop,699,AUD,Intel N150,4GB,128GB,15.6,,,,new,available,https://www.bigw.com.au/tech-audio/computers-laptops/laptops/c/6335,2026-09-13
BIGW-LAP-005,bigw,acer-aspire-lite,Acer Aspire Lite 15.6-inch Intel Celeron N4500 4GB 128GB,Acer,laptop,499,AUD,Celeron N4500,4GB,128GB,15.6,,,,new,limited_stock,https://www.bigw.com.au/tech-audio/computers-laptops/laptops/c/6335,2026-09-13
BIGW-PB-001,bigw,cygnett-go-20k,Cygnett GO Powerbank 20K Black,Cygnett,power bank,59.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-002,bigw,cygnett-go-10k,Cygnett GO Powerbank 10K Blue Amalfi,Cygnett,power bank,39.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-PB-003,bigw,laser-20k-18w,Laser 20000mAh Powerbank 18W PD with LED Black,Laser,power bank,27.55,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/power-banks/c/6324101106,2026-09-13
BIGW-CBL-001,bigw,belkin-usbc-60w-2pk,Belkin BoostCharge USB-C to USB-C Cable 60W 2 Pack,Belkin,cable,24.95,AUD,,,,,,,,new,available,https://www.bigw.com.au/tech-audio/mobile-phones/mobile-phone-accessories/mobile-phone-cables/usb-c-cables/c/632410110502,2026-09-13
JBHIFI-LAP-001,jb-hifi,hp15-fd0943tu-n150,HP Laptop 15-fd0943TU 15.6-inch Full HD Intel N150 4GB 128GB,HP,laptop,399,AUD,Intel N150,4GB,128GB,15.6,,41,,new,available,https://www.jbhifi.com.au/products/hp-laptop-15-fd0943tu-15-6-full-hd-laptop-intel-n150128gb,2026-09-13
JBHIFI-LAP-002,jb-hifi,surface-laptop-13-xplus-16-256,Microsoft Surface Laptop Copilot+ PC 13-inch Snapdragon X Plus 16GB 256GB Platinum,Microsoft,laptop,1999,AUD,Snapdragon X Plus X1P-42-100,16GB,256GB,13,1.22,,,new,available,https://www.jbhifi.com.au/products/microsoft-surface-laptop-copilot-ai-pc-13-snapdragon-x-plus-8-core-16gb-256gb-platinum,2026-09-13
JBHIFI-PB-001,jb-hifi,cygnett-chargepro-20k,Cygnett ChargePro 20K Power Bank Graphite,Cygnett,power bank,99.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/cygnett-chargepro-20k-power-bank-graphite,2026-09-13
JBHIFI-PB-002,jb-hifi,cygnett-encore-20k-65w,Cygnett Encore 20K 65W Power Bank Black,Cygnett,power bank,169.95,AUD,,,,,,,,new,available,https://www.jbhifi.com.au/products/cygnett-encore-20k-power-bank-black,2026-09-13
